datetime,symbol,open,high,low,close,volume
2025-01-01 01:00:00+00:00,BINANCE:XLMUSD,0.33279293,0.34270769,0.33279293,0.34251373,230741.0
2025-01-01 02:00:00+00:00,BINANCE:XLMUSD,0.34093482,0.34137355,0.336735,0.33758843,59391.0
2025-01-01 03:00:00+00:00,BINANCE:XLMUSD,0.3376259,0.34373649,0.3376259,0.34007855,118040.0
2025-01-01 04:00:00+00:00,BINANCE:XLMUSD,0.33882709,0.33993454,0.33732857,0.33915023,24263.0
2025-01-01 05:00:00+00:00,BINANCE:XLMUSD,0.33914368,0.33973537,0.33782662,0.33951466,35678.0
2025-01-01 06:00:00+00:00,BINANCE:XLMUSD,0.33918629,0.35617354,0.33918629,0.35410522,1033748.0
2025-01-01 07:00:00+00:00,BINANCE:XLMUSD,0.35391497,0.35668934,0.34978544,0.35575315,402035.0
2025-01-01 08:00:00+00:00,BINANCE:XLMUSD,0.3548425,0.3548425,0.34811548,0.34811548,153597.0
2025-01-01 09:00:00+00:00,BINANCE:XLMUSD,0.34814822,0.34925363,0.34254521,0.34347858,99882.0
2025-01-01 10:00:00+00:00,BINANCE:XLMUSD,0.34353061,0.34711145,0.34041495,0.34711145,150259.0
2025-01-01 11:00:00+00:00,BINANCE:XLMUSD,0.34698192,0.35022694,0.3429799,0.34391191,235835.0
2025-01-01 12:00:00+00:00,BINANCE:XLMUSD,0.34397841,0.3662474,0.34304621,0.36316056,1194461.0
2025-01-01 13:00:00+00:00,BINANCE:XLMUSD,0.36219909,0.37391092,0.36046853,0.37391092,630866.0
2025-01-01 14:00:00+00:00,BINANCE:XLMUSD,0.37289691,0.38053264,0.36815965,0.36908108,644276.0
2025-01-01 15:00:00+00:00,BINANCE:XLMUSD,0.37042643,0.37659316,0.36728424,0.37249768,284508.0
2025-01-01 16:00:00+00:00,BINANCE:XLMUSD,0.37149134,0.38582197,0.37039668,0.38572287,441492.0
2025-01-01 17:00:00+00:00,BINANCE:XLMUSD,0.38481385,0.40690621,0.38481385,0.40311792,2272510.0
2025-01-01 18:00:00+00:00,BINANCE:XLMUSD,0.40323323,0.40417317,0.38962319,0.40055741,1337476.0
2025-01-01 19:00:00+00:00,BINANCE:XLMUSD,0.4006179,0.42638018,0.39888724,0.42305341,1521732.0
2025-01-01 20:00:00+00:00,BINANCE:XLMUSD,0.42307577,0.43550187,0.41462286,0.42910264,2232663.0
2025-01-01 21:00:00+00:00,BINANCE:XLMUSD,0.42919444,0.43820353,0.42573875,0.42704816,1367132.0
2025-01-01 22:00:00+00:00,BINANCE:XLMUSD,0.42709321,0.43147978,0.4183084,0.43053147,841072.0
2025-01-01 23:00:00+00:00,BINANCE:XLMUSD,0.43053442,0.43072625,0.42106487,0.42805209,1047723.0
2025-01-02 00:00:00+00:00,BINANCE:XLMUSD,0.42805033,0.42805033,0.42052496,0.42514808,521241.0
2025-01-02 01:00:00+00:00,BINANCE:XLMUSD,0.42520599,0.46033295,0.42514871,0.44077323,4259832.0
2025-01-02 02:00:00+00:00,BINANCE:XLMUSD,0.4399864,0.44208045,0.42586411,0.4293067,1088641.0
2025-01-02 03:00:00+00:00,BINANCE:XLMUSD,0.42930651,0.43805266,0.42645605,0.43177084,402666.0
2025-01-02 04:00:00+00:00,BINANCE:XLMUSD,0.43201065,0.43666176,0.43105908,0.43474097,599723.0
2025-01-02 05:00:00+00:00,BINANCE:XLMUSD,0.43534787,0.43534787,0.42545622,0.42545622,522850.0
2025-01-02 06:00:00+00:00,BINANCE:XLMUSD,0.42586105,0.42664654,0.4172438,0.41733233,492286.0
2025-01-02 07:00:00+00:00,BINANCE:XLMUSD,0.41824112,0.42227235,0.41188971,0.41826477,541472.0
2025-01-02 08:00:00+00:00,BINANCE:XLMUSD,0.41750167,0.42325964,0.41632785,0.42235743,221207.0
2025-01-02 09:00:00+00:00,BINANCE:XLMUSD,0.42245741,0.42547336,0.41971665,0.42272547,284184.0
2025-01-02 10:00:00+00:00,BINANCE:XLMUSD,0.42254177,0.43183943,0.42158145,0.42833338,376951.0
2025-01-02 11:00:00+00:00,BINANCE:XLMUSD,0.42715384,0.43603027,0.42542337,0.43107523,381923.0
2025-01-02 12:00:00+00:00,BINANCE:XLMUSD,0.43205022,0.43408112,0.42880472,0.43209179,365506.0
2025-01-02 13:00:00+00:00,BINANCE:XLMUSD,0.43127388,0.43450848,0.42701616,0.42982104,283238.0
2025-01-02 14:00:00+00:00,BINANCE:XLMUSD,0.42981291,0.43290437,0.42707326,0.42901649,214030.0
2025-01-02 15:00:00+00:00,BINANCE:XLMUSD,0.42887787,0.43229147,0.4212525,0.42867471,365439.0
2025-01-02 16:00:00+00:00,BINANCE:XLMUSD,0.42838497,0.43053633,0.42169521,0.42706724,305466.0
2025-01-02 17:00:00+00:00,BINANCE:XLMUSD,0.42720864,0.43560803,0.42553395,0.43347043,347515.0
2025-01-02 18:00:00+00:00,BINANCE:XLMUSD,0.43308848,0.44426467,0.43308848,0.44274017,527860.0
2025-01-02 19:00:00+00:00,BINANCE:XLMUSD,0.44302949,0.44629161,0.43553337,0.43754994,827174.0
2025-01-02 20:00:00+00:00,BINANCE:XLMUSD,0.43638027,0.43943704,0.43084634,0.43084634,277925.0
2025-01-02 21:00:00+00:00,BINANCE:XLMUSD,0.43144625,0.43238444,0.42434655,0.42701442,298222.0
2025-01-02 22:00:00+00:00,BINANCE:XLMUSD,0.42801752,0.43028289,0.42509065,0.42751038,254670.0
2025-01-02 23:00:00+00:00,BINANCE:XLMUSD,0.42716058,0.43989517,0.42716058,0.43686232,256405.0
2025-01-03 00:00:00+00:00,BINANCE:XLMUSD,0.43698838,0.43913462,0.43215402,0.4322302,119855.0
2025-01-03 01:00:00+00:00,BINANCE:XLMUSD,0.43229143,0.44488502,0.43029501,0.43647879,666422.0
2025-01-03 02:00:00+00:00,BINANCE:XLMUSD,0.43744831,0.44774762,0.43309065,0.44200326,320876.0
2025-01-03 03:00:00+00:00,BINANCE:XLMUSD,0.44199656,0.46101823,0.44199656,0.45271979,980459.0
2025-01-03 04:00:00+00:00,BINANCE:XLMUSD,0.45274282,0.45775197,0.4476111,0.45404756,361655.0
2025-01-03 05:00:00+00:00,BINANCE:XLMUSD,0.45366656,0.45367911,0.44409838,0.44608056,294642.0
