datetime,open,high,low,close,volume
2023-07-01 02:00:00+00:00,0.11065587,0.11173446,0.10576251,0.10769257,12286402.0
2023-07-02 02:00:00+00:00,0.10768754,0.10823176,0.10442761,0.10750424,12096474.0
2023-07-03 02:00:00+00:00,0.107463,0.10963575,0.10457184,0.10594546,9478944.0
2023-07-04 02:00:00+00:00,0.10598599,0.10661265,0.10306332,0.1034163,6895499.0
2023-07-05 02:00:00+00:00,0.10339688,0.10463771,0.09932046,0.10069455,7092491.0
2023-07-06 02:00:00+00:00,0.10032223,0.10242777,0.09569229,0.09601437,8358443.0
2023-07-07 02:00:00+00:00,0.09599736,0.09760127,0.09482174,0.09743088,6627879.0
2023-07-08 02:00:00+00:00,0.09710435,0.10050118,0.09661552,0.09998753,8718455.0
2023-07-09 02:00:00+00:00,0.0996945,0.10003551,0.09836424,0.09897275,4535268.0
2023-07-10 02:00:00+00:00,0.09898656,0.10074111,0.0970896,0.10009101,6035712.0
2023-07-11 02:00:00+00:00,0.09984792,0.10121013,0.09820835,0.09831472,4863016.0
2023-07-12 02:00:00+00:00,0.09865365,0.09865365,0.09509926,0.09637596,6966148.0
2023-07-13 02:00:00+00:00,0.09604355,0.19567554,0.09518778,0.1552073,115911870.0
2023-07-14 02:00:00+00:00,0.15552681,0.15794672,0.12589976,0.13498434,71337006.0
2023-07-15 02:00:00+00:00,0.13494941,0.1355005,0.12725072,0.12786288,25648335.0
2023-07-16 02:00:00+00:00,0.12786714,0.13869205,0.12491061,0.13158963,39664579.0
2023-07-17 02:00:00+00:00,0.13156131,0.13460002,0.12451754,0.12906049,19433864.0
2023-07-18 02:00:00+00:00,0.1290619,0.13348524,0.12507576,0.13262471,22403760.0
2023-07-19 02:00:00+00:00,0.13231099,0.16785277,0.13136873,0.15679039,107838511.0
2023-07-20 02:00:00+00:00,0.15649593,0.18050086,0.15464752,0.16337529,102270871.0
2023-07-21 02:00:00+00:00,0.1633765,0.17132064,0.15342772,0.15706829,39027077.0
2023-07-22 02:00:00+00:00,0.15706456,0.16894265,0.15498514,0.15551925,32156377.0
2023-07-23 02:00:00+00:00,0.15562804,0.16126463,0.15208423,0.15618137,19662008.0
2023-07-24 02:00:00+00:00,0.15587677,0.15588516,0.14430207,0.1459455,19200994.0
2023-07-25 02:00:00+00:00,0.14563185,0.14997125,0.141139,0.14502078,15294937.0
2023-07-26 02:00:00+00:00,0.14500654,0.16282571,0.14025624,0.15589273,27054471.0
2023-07-27 02:00:00+00:00,0.1558931,0.16400566,0.15337184,0.15898797,28122481.0
2023-07-28 02:00:00+00:00,0.15898928,0.17228191,0.15763496,0.15983809,21929413.0
2023-07-29 02:00:00+00:00,0.15953279,0.16133029,0.15754652,0.15830177,4995444.0
2023-07-30 02:00:00+00:00,0.15830349,0.16230976,0.15261283,0.15639936,20466270.0
2023-07-31 02:00:00+00:00,0.156396,0.15797882,0.14870262,0.15029653,9950012.0
